state,County,Democrats,Republicans
Iowa,Adair,1198,2922
Iowa,Adams,590,1535
Iowa,Allamakee,2576,4744
Iowa,Appanoose,1891,4522
Iowa,Audubon,1071,2299
Iowa,Benton,5160,9208
Iowa,Black Hawk,35647,29813
Iowa,Boone,6303,8729
Iowa,Bremer,5958,8324
Iowa,Buchanan,4169,6430
Iowa,Buena Vista,2961,5074
Iowa,Butler,2424,5556
Iowa,Calhoun,1470,3698
Iowa,Carroll,3454,7766
Iowa,Cass,2201,4979
Iowa,Cedar,4337,6184
Iowa,Cerro Gordo,10941,12499
Iowa,Cherokee,1936,4510
Iowa,Chickasaw,2233,4322
Iowa,Clarke,1466,3153
Iowa,Clay,2662,6158
Iowa,Clayton,3340,6119
Iowa,Clinton,10812,13410
Iowa,Crawford,2220,4862
Iowa,Dallas,26879,28162
Iowa,Davis,1013,3035
Iowa,Decatur,1120,2618
Iowa,Delaware,3157,6688
Iowa,Des Moines,8893,10642
Iowa,Dickinson,3661,7452
Iowa,Dubuque,25657,27358
Iowa,Emmet,1520,3268
Iowa,Fayette,3835,6174
Iowa,Floyd,3172,4747
Iowa,Franklin,1626,3433
Iowa,Fremont,1080,2717
Iowa,Greene,1769,3229
Iowa,Grundy,2206,4945
Iowa,Guthrie,1985,4280
Iowa,Hamilton,2843,4982
Iowa,Hancock,1683,4401
Iowa,Hardin,2976,5864
Iowa,Harrison,2440,5580
Iowa,Henry,3275,6525
Iowa,Howard,1772,3133
Iowa,Humboldt,1442,3825
Iowa,Ida,917,2885
Iowa,Iowa,3547,6035
Iowa,Jackson,4029,6957
Iowa,Jasper,7737,12125
Iowa,Jefferson,4319,4476
Iowa,Johnson,59177,23206
Iowa,Jones,4213,6596
Iowa,Keokuk,1414,3809
Iowa,Kossuth,2696,6288
Iowa,Lee,6541,9808
Iowa,Linn,70874,53744
Iowa,Louisa,1726,3506
Iowa,Lucas,1284,3295
Iowa,Lyon,1067,5718
Iowa,Madison,3134,6525
Iowa,Mahaska,2894,8320
Iowa,Marion,6178,12722
Iowa,Marshall,8176,9610
Iowa,Mills,2508,5616
Iowa,Mitchell,2053,3684
Iowa,Monona,1407,3262
Iowa,Monroe,1078,2978
Iowa,Montgomery,1583,3666
Iowa,Muscatine,9372,10865
Iowa,O'Brien,1569,5871
Iowa,Osceola,601,2695
Iowa,Page,2086,5328
Iowa,Palo Alto,1519,3378
Iowa,Plymouth,3494,10515
Iowa,Pocahontas,933,2832
Iowa,Polk,146250,107564
Iowa,Pottawattamie,18575,26352
Iowa,Poweshiek,4306,5673
Iowa,Ringgold,709,1974
Iowa,Sac,1389,4069
Iowa,Scott,46926,43958
Iowa,Shelby,1959,4711
Iowa,Sioux,3019,15775
Iowa,Story,29175,20541
Iowa,Tama,3577,5325
Iowa,Taylor,746,2470
Iowa,Union,2061,4024
Iowa,Van Buren,875,2870
Iowa,Wapello,5821,9536
Iowa,Warren,12574,17868
Iowa,Washington,4561,6991
Iowa,Wayne,727,2344
Iowa,Webster,6613,10970
Iowa,Winnebago,2135,3726
Iowa,Winneshiek,5617,6263
Iowa,Woodbury,18704,25926
Iowa,Worth,1596,2742
Iowa,Wright,1996,4148
Minnesota,Aitkin,3607,6258
Minnesota,Anoka,100893,104902
Minnesota,Becker,6589,12438
Minnesota,Beltrami,11426,12188
Minnesota,Benton,7280,14382
Minnesota,Big Stone,1053,1863
Minnesota,Blue Earth,18330,16731
Minnesota,Brown,4753,9552
Minnesota,Carlton,10098,9791
Minnesota,Carver,30774,34009
Minnesota,Cass,6342,11620
Minnesota,Chippewa,2226,4250
Minnesota,Chisago,11806,21916
Minnesota,Clay,16357,15043
Minnesota,Clearwate,1260,3372
Minnesota,Cook,2496,1203
Minnesota,Cottonwood,1834,4165
Minnesota,Crow Wing,13726,25676
Minnesota,Dakota,146155,109638
Minnesota,Dodge,4079,7783
Minnesota,Douglas,7868,15799
Minnesota,Faribault,2531,5191
Minnesota,Fillmore,4551,7301
Minnesota,Freeborn,6889,9578
Minnesota,Goodhue,11806,16052
Minnesota,Grant,1300,2269
Minnesota,Hennepin,532623,205973
Minnesota,Houston,4853,6334
Minnesota,Hubbard,4462,8202
Minnesota,Isanti,7138,16491
Minnesota,Itasca,10786,15239
Minnesota,Jackson,1745,3948
Minnesota,Kanabec,2774,6278
Minnesota,Kandiyohi,8440,14437
Minnesota,Kittson,1006,1546
Minnesota,Koochiching,2659,4131
Minnesota,Lac Qui Parle,1446,2528
Minnesota,Lake,3647,3393
Minnesota,Lake of the Woods,671,1704
Minnesota,Le Sueur,5672,10775
Minnesota,Lincoln,937,2121
Minnesota,Lyon,4634,7979
